category;acronym;sub category;description;acronym2;provider;product
business-application;;;supply chain application;;aws;AWS Supply Chain
business-application;;;software as a service applications connectivity;;aws;AWS AppFabric
cloud-financial-management;;;cost monitoring;;aws;AWS Budgets
cloud-financial-management;;;cost data set;;aws;AWS Cost and Usage Reports
cloud-financial-management;;;cost analysis;;aws;AWS Cost Explorer
cloud-financial-management;;;cost analysis;;aws;AWS Cost Explorer
cloud-financial-management;;;instance cost;;aws;Reserved Instance Reporting
cloud-financial-management;;;cost savings;;aws;Savings plans
compute;;;image build check;;aws;Amazon EC2 Image Builder
compute;;;container hosting;;aws;BottleRocket
compute;;;high performance cluster;HPC;aws;AWS Parallel Cluster
compute;;;remote display;;aws;NICE DCV
compute;;;isolated execution environment;;aws;AWS Nitro Enclaves
compute;;;automatic integration and delivery pipeline;;aws;AWS App Runner
compute;;;job control;;aws;Nice EngineFrame
compute;;;batch jobs;;aws;AWS Batch
compute;;;real-time large-scale spatial simulations;;aws;AWS SimSpace Weaver
compute;;;compute instance for web application;;aws;Amazon Elastic Compute Cloud (EC2)
compute;;;compute instance for web application;;aws;Amazon Lightsail
compute;;;web application deployment;;aws;AWS Elastic Beanstalk
compute;;;serverless function as a service;;aws;AWS Lambda
compute;;;customer premises;;aws;AWS Outposts
compute;;;serverless application repository;;aws;AWS Serverless Application Repository
compute;;;Quickly create powerful cloud apps for web and mobile;;azure;App Service
compute;;;Create, manage, operate, and optimize HPC and big compute clusters of any scale;;azure;Azure CycleCloud
compute;;;Accelerate your development lifecycle by building your quantum solution once and running it on multiple systems with little to no change;;azure;Azure Quantum�PREVIEW
compute;;;Provision unused compute capacity at deep discounts to run interruptible workloads;;azure;Azure Spot Virtual Machines
compute;;;Build and deploy Spring Boot apps with a fully managed service from Microsoft and VMware;;azure;Azure Spring Cloud
compute;;;Run your VMware workloads natively on Azure;;azure;Azure VMware Solution
compute;;;Cloud-scale job scheduling and compute management;;azure;Batch
compute;;;Create highly-available, infinitely-scalable cloud applications and APIs;;azure;Cloud Services
compute;;;Provision virtual machines for Ubuntu, Red Hat, and more;;azure;Linux Virtual Machines
compute;;;Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO);;azure;SQL Server on Azure Virtual Machines
compute;;;Streamlined full-stack development from source code to global high availability;;azure;Static Web Apps
compute;;;Manage and scale up to thousands of Linux and Windows VMs;;azure;Virtual Machine Scale Sets
compute;;;Provision Windows and Linux VMs in seconds;;azure;Virtual Machines
compute;;;Enable a secure, remote desktop experience from anywhere;;azure;Azure Virtual Desktop
compute;;;A dedicated physical server to host your Azure VMs for Windows and Linux;;azure;Azure Dedicated Host
compute;;;Simplify your image building process with easy to use tool;;azure;Azure VM Image Builder
compute;;;Deploy and scale containers on managed Kubernetes;;azure;Azure Kubernetes Service (AKS)
compute;;;Execute event-driven serverless code with an end-to-end development experience;;azure;Azure Functions
compute;;;Launch containers with hypervisor isolation;;azure;Azure Container Instances
compute;;;Deploy and operate always-on, scalable, distributed apps;;azure;Azure Service Fabric
containers;;;orchestrator;;aws;Amazon Elastic Kubernetes Service (EKS)
containers;;;orchestrator;;aws;Amazon Elastic Container Service (ECS)
containers;;;registry;;aws;Amazon Elastic Container Registry (ECR)
containers;;;serverless compute engine;;aws;AWS Fargate
containers;;;serverless compute engine;;aws;Red Hat OpenShift Service on AWS (ROSA)
containers;;;serverless compute engine;;redhat;Openshift
containers;;;Fast, scalable parameter storage for app configuration;;azure;App Configuration
containers;;;Deploy and scale containers on managed Kubernetes;;azure;Azure Kubernetes Service (AKS)
containers;;;Deploy and scale containers on managed Red Hat OpenShift;;azure;Azure Red Hat OpenShift
containers;;;Build and deploy modern apps and microservices using serverless containers;;azure;Azure Container Apps�PREVIEW
containers;;;Execute event-driven serverless code with an end-to-end development experience;;azure;Azure Functions
containers;;;Run containerized web apps on Windows and Linux;;azure;Web App for containers
containers;;;Launch containers with hypervisor isolation;;azure;Azure Container Instances
containers;;;Deploy and operate always-on, scalable, distributed apps;;azure;Azure Service Fabric
containers;;;Build, store, secure, and replicate container images and artifacts;;azure;Azure Container Registry
database;;;serverless relational database;SQL ;aws;Amazon Aurora
database;;;serverless key-value database;NoSQL;aws;Amazon DynamoDB
database;;;serverless key-value database;NoSQL;opensource;MongoDB
database;;;managed database service;;aws;Amazon Keyspaces (for Apache Cassandra)
database;;;database migration service;;aws;AWS Database Migration Service (AWS DMS)
database;;;graph analytics and serverless database;;aws;Amazon Neptune
database;;;serverless time series database service;;aws;Amazon Timestream
database;;;relational database;;aws;Amazon Relational Database Service (Amazon RDS)
database;;;relational database;;opensource;MySQL
database;;;relational database;;opensource;MariaDB
database;;;redis compatible in memory database;;aws;Amazon MemoryDB for Redis
database;;;redis compatible in memory database;;aws;Amazon ElastiCache
database;;;Accelerate apps with high-throughput, low-latency data caching;;azure;Azure Cache for Redis
database;;;Build or modernize scalable, high-performance apps;;azure;Azure Cosmos DB
database;;;Hybrid data integration at enterprise scale, made easy;;azure;Azure Data Factory
database;;;Deploy applications to the cloud with enterprise-ready, fully managed community MariaDB;;azure;Azure Database for MariaDB
database;;;Fully managed, scalable MySQL Database;;azure;Azure Database for MySQL
database;;;Fully managed, intelligent, and scalable PostgreSQL;;azure;Azure Database for PostgreSQL
database;;;Simplify on-premises database migration to the cloud;;azure;Azure Database Migration Service
database;;;Modern SQL family for migration and app modernization;;azure;Azure SQL
database;;;Managed, intelligent SQL in the cloud;;azure;Azure SQL Database
database;;;Consume Services privately on Azure Platform;;azure;Azure SQL Edge
database;;;Managed, always up-to-date SQL instance in the cloud;;azure;Azure SQL Managed Instance
database;;;Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO);;azure;SQL Server on Azure Virtual Machines
database;;;NoSQL key-value store using semi-structured datasets;;azure;Table Storage
database;;;Modernize Cassandra data clusters with a managed instance in the cloud;;azure;Azure Managed Instance for Apache Cassandra
database;;;Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence;;azure;Azure confidential ledger�PREVIEW
developer-tools;;;integrated development environment;IDE;aws;AWS Cloud9
developer-tools;;;integrated development environment;IDE;microsoft;Visual Studio
developer-tools;;;build;;aws;AWS CodeBuild
developer-tools;;;source control;;aws;AWS CodeCommit
developer-tools;;;application deployment;;aws;AWS CodeDeploy
developer-tools;;;ci/cd pipeline;CI/CD;aws;AWS CodePipeline
developer-tools;;;ci/cd pipeline;CI/CD;aws;AWS CodeCatalyst
developer-tools;;;command line interface;CLI;aws;AWS Command Line Interface
developer-tools;;;application analysis, trace and debug;;aws;AWS X-Ray
developer-tools;;;infrastructure as code;IaC;aws;AWS Cloud Development Kit (AWS CDK)
developer-tools;;;infrastructure as code;IaC;aws;AWS CloudFormation
developer-tools;;;artifact repository;;aws;AWS CodeArtifact
developer-tools;;;browser shell;;aws;AWS CloudShell
developer-tools;;;open java development kit distribution;OpenJDK;aws;Amazon Coretto
developer-tools;;;cloud control api;;aws;AWS Cloud Control API
developer-tools;;;visual application design and build;;aws;AWS Application Composer
developer-tools;;;resilience testing tool;;aws;AWS Fault Injection Service
developer-tools;;;Fast, scalable parameter storage for app configuration;;azure;App Configuration
developer-tools;;;Services for teams to share code, track work, and ship software;;azure;Azure DevOps
developer-tools;;;Quickly create environments using reusable templates and artifacts;;azure;Azure DevTest Labs
developer-tools;;;Set up labs for classrooms, trials, development and testing, and other scenarios;;azure;Azure Lab Services
developer-tools;;;Continuously build, test, and deploy to any platform and cloud;;azure;Azure Pipelines
developer-tools;;;Get the SDKs and command-line tools you need;;azure;SDKs
developer-tools;;;Powerful and flexible environment to develop apps in the cloud;;azure;Visual Studio
developer-tools;;;A powerful, lightweight code editor for cloud development;;azure;Visual Studio Code
developer-tools;;;Optimize app performance with high-scale load testing;;azure;Azure Load Testing�PREVIEW
devops;;;Create, host, and share packages with your team;;azure;Azure Artifacts
devops;;;Plan, track, and discuss work across your teams;;azure;Azure Boards
devops;;;Services for teams to share code, track work, and ship software;;azure;Azure DevOps
devops;;;Quickly create environments using reusable templates and artifacts;;azure;Azure DevTest Labs
devops;;;Full observability into your applications, infrastructure, and network;;azure;Azure Monitor
devops;;;Continuously build, test, and deploy to any platform and cloud;;azure;Azure Pipelines
devops;;;Get unlimited, cloud-hosted private Git repos for your project;;azure;Azure Repos
devops;;;Test and ship confidently with an exploratory test toolkit;;azure;Azure Test Plans
devops;;;Use your favorite DevOps tools with Azure;;azure;DevOps tool integrations
devops;;;Optimize app performance with high-scale load testing;;azure;Azure Load Testing�PREVIEW
end-user-computing;;;end user computing;;aws;Amazon AppStream
front-end-web-and-mobile;;;web and mobile application full stack development;;aws;AWS Amplify
front-end-web-and-mobile;;;location functionality, maps, points of interest, geocoding, routing, tracking, geofencing;;aws;Amazon location service
games;;;game server;;aws;Amazon GameLift
games;;;game engine integration toolkit;;aws;AWS GameKit
hybrid-multicloud;;;Synchronize on-premises directories and enable single sign-on;;azure;Azure Active Directory (Azure AD)
hybrid-multicloud;;;Secure, develop, and operate infrastructure, apps, and Azure services anywhere;;azure;Azure Arc
hybrid-multicloud;;;Fully managed, intelligent, and scalable PostgreSQL;;azure;Azure Database for PostgreSQL
hybrid-multicloud;;;Services for teams to share code, track work, and ship software;;azure;Azure DevOps
hybrid-multicloud;;;Experience a fast, reliable, and private connection to Azure;;azure;Azure ExpressRoute
hybrid-multicloud;;;Extend cloud intelligence and analytics to edge devices;;azure;Azure IoT Edge
hybrid-multicloud;;;Cloud-native SIEM and intelligent security analytics;;azure;Microsoft Sentinel
hybrid-multicloud;;;Managed, intelligent SQL in the cloud;;azure;Azure SQL Database
hybrid-multicloud;;;Consume Services privately on Azure Platform;;azure;Azure SQL Edge
hybrid-multicloud;;;Build and run innovative hybrid apps across cloud boundaries;;azure;Azure Stack
hybrid-multicloud;;;Extend threat protection to any infrastructure;;azure;Microsoft Defender for Cloud
hybrid-multicloud;;;Run your production workloads anywhere on hybrid, familiar hyperconverged infrastructure;;azure;Azure Stack HCI
hybrid-multicloud;;;Azure Stack Hub is sold as an integrated hardware system, with software pre-installed on validated hardware;;azure;Azure Stack Hub
hybrid-multicloud;;;An Azure managed device that brings the compute, storage, and intelligence of Azure to the edge;;azure;Azure Stack Edge
hybrid-multicloud;;;A complete, rugged datacenter solution;;azure;Azure Modular Datacenter
identity;;;Synchronize on-premises directories and enable single sign-on;;azure;Azure Active Directory (Azure AD)
identity;;;Manage your domain controllers in the cloud;;azure;Azure Active Directory Domain Services
identity;;;Better protect your sensitive information�anytime, anywhere;;azure;Azure Information Protection
identity;;;Consumer identity and access management in the cloud;;azure;Azure Active Directory External Identities
integration;;;Publish APIs to developers, partners, and employees securely and at scale;;azure;API Management
integration;;;A unified solution that helps protect and combine health data in the cloud and generates healthcare insights with analytics;;azure;Azure Healthcare APIs�PREVIEW
integration;;;Reliable event delivery at massive scale;;azure;Event Grid
integration;;;Automate the access and use of data across clouds;;azure;Logic Apps
integration;;;Connect across private and public cloud environments;;azure;Service Bus
integration;;;Easily build real-time messaging web applications using WebSockets and the publish-subscribe pattern;;azure;Azure Web PubSub
internet-of-things;;;real time operating system for microcontrollers;;opensource;Free RTOS
internet-of-things;;;iot data analysis;;aws;AWS IoT analytics
internet-of-things;;;wifi button device;;aws;AWS IoT Button
internet-of-things;;;iot device connect and message transfer ;;aws;AWS IoT Core
internet-of-things;;;iot device fleet security;;aws;AWS IoT Device Defender
internet-of-things;;;iot device management;;aws;AWS IoT Device Management
internet-of-things;;;iot device fleet monitoring and actions;;aws;AWS IoT Events
internet-of-things;;;device software build and management;;aws;AWS IoT GreenGrass
internet-of-things;;;collect store monitor data from industrial equipment;;aws;AWS IoT SiteWise
internet-of-things;;;connectivity module;;aws;AWS IoT ExpressLink
internet-of-things;;;build digital twins;;aws;AWS IoT TwinMaker
internet-of-things;;;robot interoperability data collect and standardization;;aws;AWS IoT Robborunner
internet-of-things;;;vehicle data collect transform and transfer;;aws;AWS IoT FleetWise
internet-of-things;;;Publish APIs to developers, partners, and employees securely and at scale;;azure;API Management
internet-of-things;;;Build or modernize scalable, high-performance apps;;azure;Azure Cosmos DB
internet-of-things;;;Use IoT spatial intelligence to create models of physical environments;;azure;Azure Digital Twins
internet-of-things;;;Build IoT solutions on a hosted platform;;azure;Azure IoT Central
internet-of-things;;;Extend cloud intelligence and analytics to edge devices;;azure;Azure IoT Edge
internet-of-things;;;Connect, monitor, and manage billions of IoT assets;;azure;Azure IoT Hub
internet-of-things;;;An enterprise-grade service for the end-to-end machine learning lifecycle;;azure;Azure Machine Learning
internet-of-things;;;Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure;;azure;Azure Maps
internet-of-things;;;Making embedded IoT development and connectivity easy;;azure;Azure RTOS
internet-of-things;;;Securely connect MCU-powered devices from the silicon to the cloud;;azure;Azure Sphere
internet-of-things;;;Consume Services privately on Azure Platform;;azure;Azure SQL Edge
internet-of-things;;;Real-time analytics on fast-moving streaming data;;azure;Azure Stream Analytics
internet-of-things;;;Visualize IoT data in real time;;azure;Azure Time Series Insights
internet-of-things;;;Reliable event delivery at massive scale;;azure;Event Grid
internet-of-things;;;Build for mixed reality using AI sensors;;azure;Kinect DK
internet-of-things;;;Automate the access and use of data across clouds;;azure;Logic Apps
internet-of-things;;;Send push notifications to any platform from any back end;;azure;Notification Hubs
internet-of-things;;;Long-term OS support and services to manage device updates and assess device health;;azure;Windows 10 IoT Core Services
internet-of-things;;;Continuous asset discovery, vulnerability management, and threat detection for your Internet-of-things (IoT) and operational technology (OT) devices;;azure;Microsoft Defender for IoT
internet-of-things;;;Accelerate edge intelligence from silicon to service;;azure;Azure Percept�PREVIEW
internet-of-things;;;Build intelligent edge solutions with world-class developer tools, long-term support, and enterprise-grade security.;;azure;Windows for IoT
internet-of-things;;;Execute event-driven serverless code with an end-to-end development experience;;azure;Azure Functions
management-and-governance;;;monitoring, logs and alerts;;aws;Amazon CloudWatch
management-and-governance;;;auto scaling;;aws;AWS Auto scaling
management-and-governance;;;auto scaling;;aws;AWS Application Auto Scaling
management-and-governance;;;asset audit and evaluate resources;;aws;AWS Config
management-and-governance;;;software license manager;;aws;AWS License Manager
management-and-governance;;;cloud resources events and changes management;;aws;AWS Health Dashboard
management-and-governance;;;governance, compliance and audit of account;;aws;AWS CloudTrail
management-and-governance;;;share, organize, and govern IaC templates;;aws;AWS Service Catalog
management-and-governance;;;control of infrastructure resources;;aws;AWS Systems Manager
management-and-governance;;;infrastructure inspection for finance, availability and performance recommendations;;aws;AWS Trusted Advisor
management-and-governance;;;cloud architecture audit;;aws;AWS Well-Architected Tool
management-and-governance;;;setup of cloud multi account environment (landing zone);;aws;AWS Control Tower
management-and-governance;;;organization and account management;;aws;AWS Organizations
management-and-governance;;;centralized management of configuration data;;aws;AWS AppConfig
management-and-governance;;;chatbot;;aws;AWS chatbot
management-and-governance;;;backup and restore;;aws;AWS Blackint Agent
management-and-governance;;;data visualization;;aws;AWS Managed Grafana
management-and-governance;;;monitoring;;opensource;prometheus
management-and-governance;;;telemetry data;;opensource;OpenTelemetry
management-and-governance;;;deployment workflow tool;;aws;AWS Proton
management-and-governance;;;configuring and deploying third party application;;aws;AWS Launch Wizard
management-and-governance;;;it service management;ITSM;aws;AWS Service Management Connector (SMC)
management-and-governance;;;telecom network build;;aws;AWS Telco Network Builder
management-and-governance;;;workload rightsizing;;aws;AWS Compute Optimizer
management-and-governance;;;console;;aws;AWS console Application
management-and-governance;;;console;;aws;AWS Console Mobile Application
management-and-governance;;;Simplify cloud management with process automation;;azure;Automation
management-and-governance;;;Your personalized Azure best practices recommendation engine;;azure;Azure Advisor
management-and-governance;;;Simplify data protection with built-in backup management at scale;;azure;Azure Backup
management-and-governance;;;Enabling quick, repeatable creation of governed environments;;azure;Azure Blueprints�PREVIEW
management-and-governance;;;Empowering service providers to manage customers at scale and with precision;;azure;Azure Lighthouse
management-and-governance;;;Simplify management of cloud offerings;;azure;Azure Managed Applications
management-and-governance;;;Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure;;azure;Azure Migrate
management-and-governance;;;Stay connected to your Azure resources�anytime, anywhere;;azure;Azure mobile app
management-and-governance;;;Full observability into your applications, infrastructure, and network;;azure;Azure Monitor
management-and-governance;;;Implement corporate governance and standards at scale;;azure;Azure Policy
management-and-governance;;;Simplify how you manage your app resources;;azure;Azure Resource Manager
management-and-governance;;;Deliver infrastructure as code for all your Azure resources using Resource Manager;;azure;Azure Resource Manager templates
management-and-governance;;;Personalized guidance and support for when issues in Azure services affect you;;azure;Azure Service Health
management-and-governance;;;Keep your business running with built-in disaster recovery service;;azure;Azure Site Recovery
management-and-governance;;;Streamline Azure administration with a browser-based shell;;azure;Cloud Shell
management-and-governance;;;Manage your cloud spending with confidence;;azure;Azure Cost Management and Billing
management-and-governance;;;Build, manage, and monitor all Azure products in a single, unified console;;azure;Microsoft Azure portal
management-and-governance;;;Network performance monitoring and diagnostics solution;;azure;Network Watcher
management-and-governance;;;Route incoming traffic for high performance and availability;;azure;Traffic Manager
management-and-governance;;;Simplify and optimize IT management with automated operations;;azure;Azure Automanage�PREVIEW
management-and-governance;;;Simplify how you move multiple resources between Azure regions;;azure;Azure Resource Mover
management-and-governance;;;A unified data governance solution that maximizes the business value of your data;;azure;Azure Purview
management-and-governance;;;Improve application resilience by introducing faults and simulating outages;;azure;Azure Chaos Studio�PREVIEW
media-services;;;video transcoder;;aws;Amazon Elastic Transcoder
media-services;;;video transcoder;;aws;AWS Elemental Video Convert
media-services;;;video transcoder;;aws;AWS Elemental MediaConvert
media-services;;;video transport;;aws;AWS Elemental MediaConnect
media-services;;;broadcast live video processing;;aws;AWS Elemental MediaLive
media-services;;;broadcast live video processing;;aws;AWS Elemental Conductor
media-services;;;broadcast live video processing;;aws;AWS Elemental Delta
media-services;;;broadcast live video processing;;aws;AWS Elemental Live
media-services;;;broadcast live video processing;;aws;AWS Elemental Server
media-services;;;package, distribute video;;aws;AWS Elemental MediaPackage
media-services;;;video storage;;aws;AWS Elemental MediaStore
media-services;;;video ad insertion;;aws;AWS Elemental MediaTailor
media-services;;;video processing and delivery;;aws;AWS Elemental Appliances & Software
media-services;;;video live streaming low latency;;aws;AWS Interactive Video service
media-services;;;video source connection;;aws;AWS Elemental Link
media-services;;;process and render particles;;aws;AWS Thinkbox Krakatoa
media-services;;;process and render particles;;aws;AWS Thinkbox Frost
media-services;;;compute management software for render farms;;aws;AWS Thinkbox Deadline
media-services;;;compute management software for render farms;;aws;AWS Deadline Cloud
media-services;;;compressed animated geometry files;;aws;AWS Thinkbox XMesh
media-services;;;particle simulator;;aws;AWS Thinkbox Stoke
media-services;;;A single player for all your playback needs;;azure;Azure Media Player
media-services;;;Fast, reliable content delivery network with global reach;;azure;Content Delivery Network
